episode,score,smoothed_score,completion,smoothed_completion,travel_time,average_travel_time,normalized_deadlocks,eps_start,"action_probs-[B, L, F, R, S]",n_eval_episodes,eval_score,eval_completion,eval_travel_time,eval_deadlocks,experiment_name
2000,0.0,-0.28838742,1.0,0.448070086,39,55.20305103,0.0,0.01,[0.10576923 0.56730769 0.19230769 0.13461538 0.        ],25,-0.32561819,0.44,49.36,0.0,experiment_4
2100,-0.324468085,-0.271099321,0.5,0.461370557,46,55.14542729,0.0,0.01,[0.54794521 0.12328767 0.19863014 0.13013699 0.        ],25,-0.261897199,0.51,51.8,0.0,experiment_4
2200,-0.319277108,-0.276985337,0.5,0.458446032,82,55.08138981,0.0,0.01,[0.07575758 0.12121212 0.26262626 0.54040404 0.        ],25,-0.274098297,0.43,56.36,0.0,experiment_4
2300,-0.456730769,-0.289919725,0.5,0.4568706,51,55.07223989,0.0,0.01,[0.03355705 0.32885906 0.20805369 0.4295302  0.        ],25,-0.289076011,0.5,56.16,0.0,experiment_4
2400,-0.223076923,-0.271204778,0.5,0.47790449,64,55.04172099,0.0,0.01,[0.07017544 0.73684211 0.15789474 0.03508772 0.        ],25,-0.143650912,0.73,50.56,0.0,experiment_4
2500,-0.043269231,-0.259509244,0.75,0.484463141,51,54.97042899,0.0,0.01,[0.03703704 0.03703704 0.00740741 0.91111111 0.00740741],25,-0.235200798,0.45,58.2,0.0,experiment_4
2600,-0.181818182,-0.216758848,0.75,0.54444893,54,54.94562175,0.0,0.01,[0.39007092 0.14893617 0.18439716 0.26950355 0.0070922 ],25,-0.171196301,0.58,55.08,0.0,experiment_4
2700,0.0,-0.189852821,1.0,0.591836313,38,54.80315263,0.0,0.01,[0.11111111 0.05555556 0.5462963  0.28703704 0.        ],25,-0.232144905,0.53,51.16,0.0,experiment_4
2800,0.0,-0.174717551,1.0,0.616984198,20,54.66012588,0.0,0.01,[0.16216216 0.05405405 0.25675676 0.52702703 0.        ],25,-0.20257834,0.6,49.28,0.0,experiment_4
2900,-0.225,-0.174035063,0.25,0.605379851,69,54.50910389,0.0,0.01,[0.04268293 0.0304878  0.91463415 0.00609756 0.00609756],25,-0.187317319,0.64,56.92,0.0,experiment_4
3000,-0.026315789,-0.151462449,0.75,0.653444244,56,54.33746984,0.0,0.01,[0.20863309 0.52517986 0.23021583 0.02877698 0.00719424],25,-0.229606918,0.55,53.08,0.0,experiment_4
3100,-0.336538462,-0.176769636,0.25,0.598660814,51,54.34088637,0.0,0.01,[0.00588235 0.11176471 0.72941176 0.14705882 0.00588235],25,-0.210966709,0.55,52.44,0.0,experiment_4
3200,-0.17,-0.205576689,0.5,0.548351933,49,54.32731377,0.0,0.01,[0.03773585 0.         0.80503145 0.1509434  0.00628931],25,-0.230209769,0.4,56.16,0.0,experiment_4
3300,-0.066037736,-0.19237328,0.75,0.573840447,52,54.36676039,0.0,0.01,[0.06451613 0.25806452 0.04032258 0.62903226 0.00806452],25,-0.166210147,0.55,51.04,0.0,experiment_4
3400,-0.456896552,-0.21418539,0.0,0.518819369,28,54.31778249,0.0,0.01,[0.03703704 0.23148148 0.72222222 0.00925926 0.        ],25,-0.178959104,0.61,54.64,0.0,experiment_4
3500,-0.140350877,-0.196865678,0.75,0.559060456,56,54.23669509,0.0,0.01,[0.08       0.17333333 0.51333333 0.23333333 0.        ],25,-0.154594327,0.61,52.88,0.0,experiment_4
3600,0.0,-0.173045538,1.0,0.604519672,31,54.17966295,0.0,0.01,[0.08333333 0.12037037 0.40740741 0.38888889 0.        ],25,-0.144579959,0.63,54.76,0.0,experiment_4
3700,-0.540909091,-0.173754027,0.25,0.604386568,54,54.16328798,0.0,0.01,[0.265625   0.15104167 0.49479167 0.08854167 0.        ],25,-0.259474703,0.48,48.76,0.0,experiment_4
3800,0.0,-0.163148827,1.0,0.631703448,30,54.08619292,0.0,0.01,[0.0733945  0.33944954 0.1559633  0.43119266 0.        ],25,-0.15738743,0.61,52.68,0.0,experiment_4
3900,0.0,-0.157671537,1.0,0.643767563,31,54.0023678,0.0,0.01,[0.11881188 0.59405941 0.14851485 0.13861386 0.        ],25,-0.152940431,0.69,50.76,0.0,experiment_4
4000,-0.217391304,-0.161137019,0.5,0.640578562,45,53.95719046,0.0,0.01,[0.04615385 0.26153846 0.03846154 0.65384615 0.        ],25,-0.157078038,0.6,54.64,0.0,experiment_4
100,-0.522077922077922,-0.7011494650415127,0.1428571428571428,0.0534703487004305,54,60.51,0.0,0.3660323412732292,[0.06042296 0.31722054 0.16314199 0.25075529 0.20845921],25,-0.5555981422475988,0.0,59.96,0.0,experiment_5
200,-0.4729064039408867,-0.5456956626776721,0.0,0.087907559485313,57,60.145,0.0,0.1339796748579617,[0.07795699 0.38978495 0.02419355 0.20698925 0.30107527],25,-0.5059370235295849,0.0,61.48,0.0,experiment_5
300,-0.5444743935309974,-0.4777273930557881,0.0,0.0800815702248766,52,59.56,0.0,0.0490408940712857,[0.25510204 0.12244898 0.05442177 0.00680272 0.56122449],25,-0.4126687328957295,0.0628571428571428,57.92,0.0,experiment_5
400,-0.1194805194805194,-0.4356009539461478,0.8571428571428571,0.1020261994013795,54,58.845,0.0,0.0179505532750451,[0.02118644 0.57627119 0.0720339  0.31779661 0.01271186],25,-0.3291563986359467,0.28,61.36,0.0,experiment_5
500,-0.2459016393442623,-0.4098338267513966,0.2857142857142857,0.1626254383487831,60,58.464,0.0,0.01,[0.01744186 0.2877907  0.27034884 0.15988372 0.26453488],25,-0.3126363632652392,0.2857142857142857,57.36,0.0,experiment_5
600,-0.2323390894819466,-0.3835409003024582,0.7142857142857143,0.2155139373201027,90,58.35666666666667,0.0,0.01,[0.00555556 0.34444444 0.08055556 0.55555556 0.01388889],25,-0.3131756590616518,0.2857142857142857,55.32,0.0,experiment_5
700,-0.1978021978021978,-0.3518072479638913,0.5714285714285714,0.2776538484563824,64,58.23857142857143,0.0,0.01,[0.00619195 0.86068111 0.0247678  0.10835913 0.        ],25,-0.3151894364022862,0.3199999999999999,56.48,0.0,experiment_5
800,-0.3025210084033613,-0.3105154328418489,0.2857142857142857,0.3530090579481424,50,58.1675,0.0,0.01,[0.032 0.3   0.548 0.12  0.   ],25,-0.2378145597231924,0.4571428571428571,53.76,0.0,experiment_5
900,-0.1576354679802955,-0.2847898478594377,0.4285714285714285,0.400543389839415,28,58.01777777777778,0.0,0.01,[0.10843373 0.45783133 0.29518072 0.13253012 0.0060241 ],25,-0.1709337785255763,0.5942857142857143,55.04,0.0,experiment_5
1000,-0.1428571428571428,-0.2231534849345538,0.7142857142857143,0.5128165717006261,55,57.671,0.0,0.01,[0.01171875 0.12890625 0.33984375 0.51953125 0.        ],25,-0.1713269418662411,0.6742857142857142,53.6,0.0,experiment_5
1100,0.0,-0.2199316288930589,1.0,0.5375026488231042,46,57.38545454545454,0.0,0.01,[0.02247191 0.60299625 0.05243446 0.31460674 0.00749064],25,-0.2698785644279712,0.4571428571428571,58.0,0.0,experiment_5
1200,-0.1457725947521866,-0.1954814513527969,0.8571428571428571,0.5871489458364936,48,57.165,0.0,0.01,[0.00985222 0.5862069  0.22660099 0.14285714 0.03448276],25,-0.2772307522846565,0.3085714285714285,56.16,0.0,experiment_5
1300,-0.4122965641952983,-0.2174478219879957,0.4285714285714285,0.5554935922776629,78,57.20076923076923,0.0,0.01,[0.01428571 0.6452381  0.01904762 0.1952381  0.12619048],25,-0.2712228417889075,0.5142857142857142,53.48,0.0,experiment_5
1400,-0.1318681318681318,-0.1821598537916388,0.8571428571428571,0.6191622462291634,51,56.91857142857143,0.0,0.01,[0.02192982 0.72807018 0.04824561 0.20175439 0.        ],25,-0.2146719115751854,0.5142857142857143,54.24,0.0,experiment_5
1500,-0.249496981891348,-0.1656887680375958,0.5714285714285714,0.6507583721159014,70,56.648,0.0,0.01,[0.06493506 0.7012987  0.04220779 0.18831169 0.00324675],25,-0.2385932126013059,0.5199999999999999,53.92,0.0,experiment_5
1600,-0.2767857142857143,-0.186377951358216,0.5714285714285714,0.6185382605156003,63,56.309375,0.0,0.01,[0.04150943 0.31320755 0.29811321 0.33962264 0.00754717],25,-0.2345735250535098,0.5257142857142858,56.76,0.0,experiment_5
1700,-0.4518272425249169,-0.2011570735241317,0.2857142857142857,0.6056300970853624,85,56.19058823529412,0.0,0.01,[0.02398082 0.3117506  0.32374101 0.0647482  0.27577938],25,-0.1678415798024547,0.6685714285714286,52.6,0.0,experiment_5
1800,-0.2012987012987013,-0.1819853857835681,0.7142857142857143,0.6335708292341885,65,56.01222222222222,0.0,0.01,[0.05109489 0.60948905 0.22262774 0.11678832 0.        ],25,-0.1902258538568516,0.64,52.6,0.0,experiment_5
1900,-0.3214285714285714,-0.1758433032069747,0.4285714285714285,0.6368066814774725,55,55.85368421052632,0.0,0.01,[0.08761329 0.54682779 0.06042296 0.30513595 0.        ],25,-0.1798596261782593,0.6514285714285714,53.6,0.0,experiment_5
2000,0.0,-0.1774103493457154,1.0,0.6403967112357006,37,55.64,0.0,0.01,[0.04761905 0.83116883 0.07359307 0.04761905 0.        ],25,-0.1828402865744207,0.6114285714285714,50.04,0.0,experiment_5
2100,-0.1293800539083558,-0.1715927798815115,0.7142857142857143,0.6145661077388833,52,55.53190476190476,0.0,0.01,[0.03791469 0.37914692 0.17061611 0.4028436  0.00947867],25,-0.155880746275685,0.68,54.36,0.0,experiment_5
2200,0.0,-0.1692462424968972,1.0,0.6353051519057183,53,55.50136363636364,0.0,0.01,[0.04417671 0.54216867 0.10843373 0.30522088 0.        ],25,-0.1316369436004945,0.7314285714285714,52.68,0.0,experiment_5
2300,-0.059299191374663,-0.1602687101523725,0.7142857142857143,0.6617538249564785,52,55.39565217391304,0.0,0.01,[0.12658228 0.41772152 0.21940928 0.17721519 0.05907173],25,-0.143433898963206,0.7028571428571427,54.12,0.0,experiment_5
2400,-0.2467532467532467,-0.1583792939718167,0.4285714285714285,0.6625250263110929,54,55.28958333333333,0.0,0.01,[0.00784314 0.55294118 0.14901961 0.28627451 0.00392157],25,-0.1365909836095922,0.6914285714285714,54.84,0.0,experiment_5
2500,-0.2195767195767195,-0.1475342412249696,0.5714285714285714,0.6711324272856979,53,55.244,0.0,0.01,[0.02884615 0.51442308 0.29326923 0.16346154 0.        ],25,-0.1184778922524097,0.7714285714285716,53.72,0.0,experiment_5
2600,-0.0551378446115288,-0.1525741710532078,0.8571428571428571,0.6683413180394211,56,55.112307692307695,0.0,0.01,[0.10638298 0.21808511 0.45212766 0.22340426 0.        ],25,-0.1333634371126905,0.7142857142857143,50.0,0.0,experiment_5
2700,0.0,-0.1563478068279691,1.0,0.657262068336178,38,54.93666666666667,0.0,0.01,[0.09589041 0.56621005 0.14155251 0.18721461 0.00913242],25,-0.1968429990313747,0.5485714285714285,54.36,0.0,experiment_5
2800,0.0,-0.1491684482204514,1.0,0.6700207774296941,49,54.8475,0.0,0.01,[0.04961832 0.5610687  0.13740458 0.2519084  0.        ],25,-0.1407315123853299,0.72,52.6,0.0,experiment_5
2900,0.0,-0.1488975414620234,1.0,0.683276436913123,44,54.75241379310345,0.0,0.01,[0.08300395 0.54545455 0.04743083 0.30434783 0.01976285],25,-0.1515234832209376,0.7085714285714285,54.48,0.0,experiment_5
3000,-0.4553571428571428,-0.1614451477153591,0.0,0.6614090613694472,47,54.68666666666667,0.0,0.01,[0.01083032 0.18050542 0.25270758 0.55234657 0.00361011],25,-0.1761675636725391,0.6285714285714286,53.96,0.0,experiment_5
3100,-0.0129870129870129,-0.1446209825992308,1.0,0.6997277753948774,53,54.60580645161291,0.0,0.01,[0.10548523 0.4556962  0.13924051 0.29535865 0.00421941],25,-0.1351956838022397,0.7028571428571427,51.84,0.0,experiment_5
3200,-0.0571428571428571,-0.1375142584433188,0.8571428571428571,0.7021665384214116,54,54.5259375,0.0,0.01,[0.07657658 0.38288288 0.33783784 0.2027027  0.        ],25,-0.124144952760096,0.7314285714285714,53.64,0.0,experiment_5
3300,-0.1071428571428571,-0.1422640074814544,0.5714285714285714,0.6927875531548608,55,54.43333333333333,0.0,0.01,[0.01140684 0.2851711  0.4486692  0.25095057 0.00380228],25,-0.1071696349493644,0.76,50.88,0.0,experiment_5
3400,-0.3333333333333333,-0.1484078282456821,0.4285714285714285,0.6757257767122263,53,54.35705882352941,0.0,0.01,[0.02915452 0.50145773 0.09912536 0.37026239 0.        ],25,-0.1386092067707482,0.7085714285714286,54.2,0.0,experiment_5
3500,-0.2708333333333333,-0.1287733351269868,0.2857142857142857,0.731813086926364,47,54.24342857142857,0.0,0.01,[0.01574803 0.5984252  0.07086614 0.31496063 0.        ],25,-0.0879688634217937,0.8114285714285715,49.24,0.0,experiment_5
3600,-0.1724137931034483,-0.1328591695808904,0.7142857142857143,0.7126072834461818,86,54.16916666666667,0.0,0.01,[0.07977208 0.58404558 0.15099715 0.18233618 0.002849  ],25,-0.0777511396841867,0.84,45.28,0.0,experiment_5
3700,-0.1293800539083558,-0.1607247843648367,0.8571428571428571,0.6544036431511379,52,54.16054054054054,0.0,0.01,[0.07834101 0.41474654 0.04147465 0.46543779 0.        ],25,-0.1638179529291245,0.7085714285714286,52.12,0.0,experiment_5
3800,0.0,-0.1462919605045758,1.0,0.6745766898844253,41,54.11394736842105,0.0,0.01,[0.07964602 0.39823009 0.07964602 0.44247788 0.        ],25,-0.1574346513690482,0.6857142857142857,55.44,0.0,experiment_5
3900,0.0,-0.1293737549153263,1.0,0.7199455811658493,40,54.01358974358974,0.0,0.01,[0.05284553 0.68699187 0.08943089 0.17073171 0.        ],25,-0.1147832242515145,0.7714285714285716,53.0,0.0,experiment_5
4000,-0.2214285714285714,-0.1302149815867937,0.5714285714285714,0.7387692879052987,59,53.9945,0.0,0.01,[0.1122449  0.68707483 0.04081633 0.15986395 0.        ],25,-0.1254026546153002,0.76,50.04,0.0,experiment_5
100,-0.4232142857142857,-0.6799717267247347,0.0,0.058190260530593,55,59.24,0.0,0.3660323412732292,[0.08631579 0.20631579 0.12421053 0.18105263 0.40210526],25,-0.501019218975745,0.0,60.96,0.0,experiment_6
200,-0.4915254237288136,-0.5240825226102229,0.0,0.0466201452658591,58,58.165,0.0,0.1339796748579617,[0.22641509 0.16415094 0.03396226 0.22075472 0.35471698],25,-0.4775746488835624,0.0,55.64,0.0,experiment_6
300,-0.2932203389830508,-0.4432785034726804,0.5,0.0922161467399219,58,58.78,0.0,0.0490408940712857,[0.03203661 0.05491991 0.01830664 0.87414188 0.02059497],25,-0.3190383442311603,0.268,57.72,0.0,experiment_6
400,-0.3690909090909091,-0.4209692349756421,0.3,0.1291309821085104,54,58.7375,0.0,0.0179505532750451,[0.20043573 0.02832244 0.12854031 0.63834423 0.0043573 ],25,-0.3370529624862247,0.4040000000000001,55.96,0.0,experiment_6
500,-0.6690909090909091,-0.3840724408198574,0.0,0.1888246843277031,54,58.794,0.0,0.01,[0.10993658 0.38689218 0.25158562 0.02959831 0.22198732],25,-0.4073279834763271,0.168,56.84,0.0,experiment_6
600,0.0,-0.3412676452344523,1.0,0.2843381516769355,49,58.66,0.0,0.01,[0.09414758 0.40966921 0.07124682 0.42239186 0.00254453],25,-0.3565032708674605,0.288,55.56,0.0,experiment_6
700,-0.3867924528301887,-0.297577243932738,0.1,0.3694044264953327,52,58.39571428571429,0.0,0.01,[0.06882591 0.77530364 0.01012146 0.14574899 0.        ],25,-0.318385635105458,0.34,57.8,0.0,experiment_6
800,-0.1358490566037735,-0.2722285950409921,0.7,0.4091622065011291,52,58.40375,0.0,0.01,[0.14447592 0.43909348 0.07082153 0.34560907 0.        ],25,-0.3269572580113266,0.236,57.52,0.0,experiment_6
900,-0.1923076923076923,-0.2651160318547103,0.6,0.4007321494541964,51,58.39888888888889,0.0,0.01,[0.35612536 0.05698006 0.0997151  0.3960114  0.09116809],25,-0.1990447541329688,0.54,63.12,0.0,experiment_6
1000,-0.0092592592592592,-0.2385781911082583,1.0,0.473990932595974,39,58.241,0.0,0.01,[0.13385827 0.59448819 0.09055118 0.18110236 0.        ],25,-0.2133566350312759,0.496,52.88,0.0,experiment_6
1100,-0.4096153846153846,-0.2487908853687383,0.2,0.4547240673283313,51,58.18727272727273,0.0,0.01,[0.24565757 0.64019851 0.01736973 0.02729529 0.06947891],25,-0.289821510768203,0.352,56.6,0.0,experiment_6
1200,-0.2109090909090909,-0.2278944977986972,0.5,0.507848267410063,54,58.053333333333335,0.0,0.01,[0.49497487 0.19849246 0.02763819 0.27638191 0.00251256],25,-0.1807508555592339,0.5760000000000001,59.24,0.0,experiment_6
1300,-0.3637931034482758,-0.2062029530002731,0.2,0.5426228567101039,57,57.94,0.0,0.01,[0.56389452 0.17241379 0.05476673 0.168357   0.04056795],25,-0.1866253047109126,0.584,55.12,0.0,experiment_6
1400,-0.292156862745098,-0.2044081453994986,0.3,0.5343086946559552,50,57.85714285714285,0.0,0.01,[0.32668329 0.42394015 0.08478803 0.13715711 0.02743142],25,-0.3271091866029088,0.272,59.4,0.0,experiment_6
1500,0.0,-0.2062411492578207,1.0,0.5509589232585578,43,57.78333333333333,0.0,0.01,[0.15542522 0.31671554 0.14662757 0.38123167 0.        ],25,-0.1956661219693819,0.5479999999999999,55.4,0.0,experiment_6
1600,-0.4222222222222222,-0.2083579524017844,0.3,0.5441877978362232,62,57.678125,0.0,0.01,[0.29026217 0.37265918 0.04681648 0.29026217 0.        ],25,-0.2350679465634916,0.484,62.04,0.0,experiment_6
1700,-0.4333333333333333,-0.2161652352972946,0.1,0.5254752906985193,50,57.55117647058824,0.0,0.01,[0.30410959 0.18630137 0.03835616 0.44657534 0.02465753],25,-0.2249370733017868,0.5,57.12,0.0,experiment_6
1800,-0.1034482758620689,-0.2043928153026248,0.8,0.5612281005557229,57,57.57833333333333,0.0,0.01,[0.07098765 0.4691358  0.16049383 0.18518519 0.11419753],25,-0.2080837161879146,0.56,52.8,0.0,experiment_6
1900,-0.0258620689655172,-0.1917338171609836,1.0,0.5837487202884025,57,57.39,0.0,0.01,[0.31518625 0.38108883 0.10028653 0.2034384  0.        ],25,-0.2037568496407815,0.6000000000000001,54.52,0.0,experiment_6
2000,-0.5347826086956522,-0.1952873646635846,0.0,0.5786312667537645,91,57.2945,0.0,0.01,[0.34883721 0.26614987 0.00258398 0.36950904 0.0129199 ],25,-0.3606458786527972,0.304,56.04,0.0,experiment_6
2100,-0.1433962264150943,-0.1760256953990679,0.7,0.626053976543159,52,57.14571428571429,0.0,0.01,[0.06179775 0.63483146 0.07865169 0.21067416 0.01404494],25,-0.1616736937277655,0.624,52.72,0.0,experiment_6
2200,-0.1571428571428571,-0.1736452659175106,0.5,0.6286918117408632,48,57.09045454545455,0.0,0.01,[0.06876791 0.60458453 0.1260745  0.19770774 0.00286533],25,-0.1805753077324476,0.604,56.84,0.0,experiment_6
2300,-0.0053571428571428,-0.1900819866086418,1.0,0.5815354505698781,55,57.02608695652174,0.0,0.01,[0.23510972 0.48902821 0.08777429 0.18181818 0.00626959],25,-0.2139692919038689,0.52,54.92,0.0,experiment_6
2400,-0.2203389830508474,-0.1893870950340853,0.4,0.5937501328223352,58,56.97291666666667,0.0,0.01,[0.09859155 0.83802817 0.01877934 0.04225352 0.00234742],25,-0.1895854140538623,0.5680000000000001,55.12,0.0,experiment_6
2500,0.0,-0.1860219744399057,1.0,0.5960425696524188,44,56.8932,0.0,0.01,[0.19292605 0.50160772 0.09967846 0.19614148 0.0096463 ],25,-0.1724078753292925,0.664,50.48,0.0,experiment_6
2600,-0.0056603773584905,-0.1842101656403675,1.0,0.5911721503099082,39,56.82576923076923,0.0,0.01,[0.2195122  0.3554007  0.06620209 0.31358885 0.04529617],25,-0.228283009921828,0.5,57.04,0.0,experiment_6
2700,-0.1839285714285714,-0.2001101100433087,0.6,0.5419501164452328,55,56.82666666666667,0.0,0.01,[0.1122449  0.30102041 0.03316327 0.44897959 0.10459184],25,-0.217481130524716,0.56,54.48,0.0,experiment_6
2800,-0.0017241379310344,-0.2149900755045821,1.0,0.4965428919463182,53,56.8775,0.0,0.01,[0.16158537 0.46646341 0.07621951 0.2652439  0.0304878 ],25,-0.19339496916231,0.564,58.4,0.0,experiment_6
2900,-0.5964285714285714,-0.2187518671064885,0.0,0.4975122644619369,55,56.82206896551724,0.0,0.01,[0.07050093 0.16883117 0.02782931 0.72912801 0.00371058],25,-0.209836343244357,0.58,55.0,0.0,experiment_6
3000,-0.1363636363636363,-0.1974968395674909,0.6,0.5522137213318299,65,56.81466666666667,0.0,0.01,[0.09653465 0.61386139 0.10643564 0.17821782 0.0049505 ],25,-0.2186759313738,0.5,57.04,0.0,experiment_6
3100,-0.125531914893617,-0.181196612872428,0.5,0.5914234554880673,93,56.74516129032258,0.0,0.01,[0.10608696 0.44173913 0.07652174 0.37391304 0.00173913],25,-0.1844989108187042,0.6,51.28,0.0,experiment_6
3200,-0.0120689655172413,-0.1767133977003373,0.9,0.5997897412802282,57,56.6990625,0.0,0.01,[0.31761006 0.43710692 0.08805031 0.1509434  0.00628931],25,-0.1476520740065471,0.664,54.8,0.0,experiment_6
3300,-0.1516129032258064,-0.1848070698937666,0.6,0.5928108538217086,61,56.66242424242424,0.0,0.01,[0.14489311 0.77672209 0.03087886 0.04750594 0.        ],25,-0.1831127425510153,0.544,61.04,0.0,experiment_6
3400,-0.2981818181818181,-0.1851716194844193,0.3,0.5917733981919832,54,56.62764705882353,0.0,0.01,[0.12391931 0.4610951  0.1556196  0.1037464  0.1556196 ],25,-0.1684095747228119,0.588,55.4,0.0,experiment_6
3500,-0.0442622950819672,-0.1722727111951469,0.9,0.6106305988492485,60,56.577714285714286,0.0,0.01,[0.23026316 0.52302632 0.17763158 0.06907895 0.        ],25,-0.1493775669772135,0.6920000000000001,52.68,0.0,experiment_6
3600,-0.3847222222222222,-0.1686025662533501,0.2,0.618241683862531,71,56.58416666666667,0.0,0.01,[0.11584327 0.21635434 0.10902896 0.51618399 0.04258944],25,-0.1398842533037158,0.66,52.76,0.0,experiment_6
3700,-0.14,-0.1711391727773353,0.5,0.6161521590972541,54,56.53135135135136,0.0,0.01,[0.26439791 0.41884817 0.15445026 0.15706806 0.0052356 ],25,-0.1251767208345341,0.72,49.12,0.0,experiment_6
3800,-0.2289156626506024,-0.1716111343460831,0.5,0.6132243853868768,82,56.50078947368421,0.0,0.01,[0.22178988 0.33463035 0.1614786  0.21984436 0.06225681],25,-0.1095661822391474,0.7560000000000001,49.68,0.0,experiment_6
3900,-0.2316666666666666,-0.1711143435968947,0.5,0.6056002493904541,59,56.46,0.0,0.01,[0.07349666 0.23385301 0.3830735  0.1091314  0.20044543],25,-0.20999863633971,0.56,58.64,0.0,experiment_6
4000,0.0,-0.182550159301955,1.0,0.582577107959606,37,56.462,0.0,0.01,[0.12837838 0.42905405 0.15878378 0.28378378 0.        ],25,-0.2209454121163213,0.496,57.96,0.0,experiment_6
100,-0.4237410071942446,-0.6816991957131733,0.1,0.0671939983835204,138,117.95,0.0,0.3660323412732292,[0.09574468 0.37137331 0.06769826 0.155706   0.30947776],25,-0.371559430336525,0.0,118.72,0.0,experiment_7
200,-0.4661016949152542,-0.5627939138737473,0.2,0.065912840845032,117,118.57,0.0,0.1339796748579617,[0.07127193 0.29934211 0.02741228 0.2379386  0.36403509],25,-0.565308735223611,0.0,110.72,0.0,experiment_7
300,-0.4369230769230769,-0.535004125986141,0.0,0.0538197605513658,129,117.56333333333332,0.0,0.0490408940712857,[0.04175589 0.17880086 0.00642398 0.02997859 0.74304069],25,-0.3721641942632436,0.0,121.6,0.0,experiment_7
400,-0.56015625,-0.5087885394363201,0.0,0.060783743735037,127,117.375,0.0,0.0179505532750451,[0.10163339 0.00181488 0.00181488 0.00998185 0.88475499],25,-0.3836102390905063,0.0,120.76,0.0,experiment_7
500,-0.4688524590163934,-0.4770004151820063,0.0,0.0727845950672734,121,116.946,0.0,0.01,[0.0030896  0.02780639 0.00205973 0.52729145 0.43975283],25,-0.4613195733510131,0.06,117.2,0.0,experiment_7
600,-0.4888,-0.4863173819057078,0.2,0.0623839054661411,124,116.82,0.0,0.01,[0.36082474 0.20824742 0.00618557 0.40721649 0.01752577],25,-0.4116773833170671,0.172,123.04,0.0,experiment_7
700,-0.3951612903225806,-0.4703971480138419,0.0,0.0625463036400377,123,116.82428571428572,0.0,0.01,[0.76425856 0.07889734 0.03231939 0.01140684 0.11311787],25,-0.3863491347848403,0.0,120.8,0.0,experiment_7
800,-0.4923076923076923,-0.4674140261737829,0.0,0.0663212558983695,129,116.67,0.0,0.01,[0.47110676 0.03917728 0.00391773 0.46425073 0.0215475 ],25,-0.4041280683415065,0.004,115.72,0.0,experiment_7
900,-0.4833333333333333,-0.4581254595855682,0.0,0.056319780097411,149,116.62777777777778,0.0,0.01,[0.15668581 0.00164069 0.00246103 0.00328138 0.83593109],25,-0.4003920289002974,0.0,117.08,0.0,experiment_7
1000,-0.350375939849624,-0.4311150091802965,0.1,0.1148988803383921,132,116.644,0.0,0.01,[0.73047305 0.11221122 0.00220022 0.14961496 0.00550055],25,-0.3860452328160989,0.044,115.72,0.0,experiment_7
1100,-0.3605504587155963,-0.3932043726736637,0.3,0.2091680753609669,108,116.35454545454546,0.0,0.01,[0.06446777 0.66116942 0.00449775 0.21889055 0.05097451],25,-0.2951348525816006,0.4040000000000001,115.4,0.000125,experiment_7
1200,-0.5693069306930693,-0.3470390176490819,0.3,0.293097157505083,100,116.465,0.0,0.01,[0.49477807 0.2310705  0.         0.21279373 0.0613577 ],25,-0.3659187544678622,0.252,114.0,0.0,experiment_7
1300,-0.4656,-0.3548695048880817,0.1,0.2827639622542512,124,116.50846153846152,0.0,0.01,[0.53912214 0.17843511 0.01145038 0.1860687  0.08492366],25,-0.3157654491759681,0.356,114.2,0.0,experiment_7
1400,-0.2657142857142857,-0.3235243365046257,0.6,0.324766806623025,104,116.16857142857144,0.0,0.01,[0.37416107 0.15268456 0.00167785 0.36577181 0.1057047 ],25,-0.2820636054086066,0.3839999999999999,121.04,0.0,experiment_7
1500,-0.4238938053097345,-0.3013140578570265,0.2,0.3761066070805609,112,115.888,0.0,0.01,[0.59675676 0.01189189 0.         0.3427027  0.04864865],25,-0.3292086411367774,0.2479999999999999,117.56,0.0,experiment_7
1600,-0.2229508196721311,-0.2881635302876904,0.4,0.3934323112406314,121,115.996875,0.0,0.01,[0.07503234 0.03751617 0.04139715 0.84346701 0.00258732],25,-0.2614483753896284,0.46,114.44,0.0,experiment_7
1700,-0.4613636363636363,-0.3032365137571255,0.0,0.3759648331100268,131,116.00529411764704,0.0,0.01,[0.16805171 0.37765466 0.02216066 0.20960295 0.22253001],25,-0.2648938925433827,0.416,110.36,0.0,experiment_7
1800,-0.4228070175438596,-0.3200534272260568,0.2,0.3441784334813583,113,116.07888888888888,0.0,0.01,[0.34861407 0.2803838  0.15031983 0.21108742 0.00959488],25,-0.3008084656435039,0.3360000000000001,118.12,0.0,experiment_7
1900,-0.2204081632653061,-0.3144881908170306,0.5,0.3442251400801858,146,116.10526315789474,0.0,0.01,[0.70575693 0.07782516 0.02985075 0.15778252 0.02878465],25,-0.3102105203240995,0.312,114.52,0.0,experiment_7
2000,-0.31,-0.306288398919145,0.4,0.366885927198939,119,116.016,0.0,0.01,[0.22639225 0.34624697 0.01937046 0.36561743 0.04237288],25,-0.3399657746636728,0.14,123.48,0.0,experiment_7
2100,-0.3688,-0.2885518762390848,0.4,0.4084582357987444,124,116.12571428571428,0.0,0.01,[0.42358604 0.3188929  0.00481348 0.18411552 0.06859206],25,-0.304661922519356,0.364,109.12,0.0,experiment_7
2200,-0.3702380952380952,-0.2832367192505802,0.2,0.4007115995989456,83,116.175,0.0,0.01,[0.21966206 0.03993856 0.01843318 0.68970814 0.03225806],25,-0.2538115024792152,0.4319999999999999,113.96,0.0,experiment_7
